"Apache Software Foundation", "The ASF is currently working on supporting
POWER builds for CouchDB and possibly other ASF projects in the future. The
current goal is to support Cloudant on POWER."
"CentOS", "Supporting porting efforts of POWER8 ppc64/ppc64le for the CentOS
project."
"Cloud Foundry", "Supporting porting of Cloud Foundry on POWER, continuous
integration with Cloud Foundry, and builds integration with Cloud Foundry."
"CRIU", "Supporting porting efforts of POWER8 ppc64/ppc64le for the CRIU
project."
"Drupal", "Supporting porting efforts of POWER8 ppc64/ppc64le for the Drupal
project."
"DBSI", "Supporting porting efforts of POWER8 ppc64le for the DBSI project."
"Gentoo", "Supporting porting efforts of POWER8 ppc64/ppc64le for the Gentoo
project."
"Docker", "Supporting porting efforts of POWER8 ppc64/ppc64le for the Docker
project."
"Glibc", "Supporting porting efforts of POWER8 ppc64/ppc64le for the GNU C
Library, commonly known as glibc project."
"GoLang", "Supporting porting efforts of POWER8 ppc64/ppc64le for the GoLang
project."
"Haskell", "Implement native code generation on PowerPC 64-bit little endian
for ""The Glorious Glasgow Haskell Compilation System"" and as a pre-release
for openSUSE and SUSE Linux Enterprise on POWER8 servers, while we are
waiting for upstream to release version 7.12.

In a follow-up project they plan to do research on hardware transactional
memory features of POWER8 in addition and compared to Haskell's software
transactional memory implementation."
"JXCore", "Supporting porting efforts of POWER8 ppc64/ppc64le for the JXCore
project. The goal is to provide stable POWER releases for both Node.js and
JXCore."
"libjpeg-turbo", "Supporting porting efforts of POWER8 ppc64/ppc64le for the
libjpeg-turbo project."
"LLVM", "Supporting porting efforts of POWER8 ppc64/ppc64le for the LLVM
project to run their buildbot instances. These instances build LLVM and run
the test suites when patches are checked in to ensure they run properly on
the POWER architecture."
"LTTng", "Supporting porting efforts of POWER8 ppc64/ppc64le for the LTTng
project."
"Node", "Supporting porting efforts of POWER8 ppc64/ppc64le for the Node
project. The goal is to provide stable POWER releases for community builds of
Node.js."
"Nokogiri", "BountySource ticket focused on fixing compiling issues of
Nokigiri on the POWER8 architecture."
"OpenJDK", "Supporting porting efforts of POWER8 ppc64/ppc64le for the
OpenJDK project. The goal is to provide support for Java 7 and 8 which is
being consumed by most major distributions."
"oVirt", "Supporting porting efforts of POWER8 ppc64/ppc64le for the oVit
project."
"libjpeg-turbo", "Supporting porting efforts of POWER8 ppc64/ppc64le for the
libjpeg-turbo project."
"UAUC", "Supporting University of Alberta and Universidade de Campinas work on
the POWER8 architecture."
"UMBC", "Supporting University of Maryland, Baltimore County work on the POWER8
architecture."
"Zarafa", "Supporting porting efforts of POWER8 ppc64/ppc64le for the Zarafa
project."
